sentence,issues,solutions,prompt,pred_prob,matched_src,revised_sent
"Granddad and Father stopped in their tracks and turned to see a dozen pairs of green eyes, like will-o'-the-wisps, and several indigo shadows tumbling on the ground.","too many cohesive markers, overly dense",Keep only necessary markers. Loosen dense noun phrases.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""Granddad and Father stopped in their tracks and turned to see a dozen pairs of green eyes, like will-o'-the-wisps, and several indigo shadows tumbling on the ground.""
Suggested fixes: Keep only necessary markers. Loosen dense noun phrases.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",1,爷爷和父亲立即转身回头，看到十几对鬼火一样闪烁的绿眼睛和一团团遍地翻滚的钢蓝色的影子。,"Granddad and Father stopped in their tracks and turned to see a dozen pairs of glowing eyes, like will-o'-the-wisps, and several indigo shadows tumbling on the ground."
"I felt like a wedge for splitting wood, lying between her widely opened legs.","too long, too many function words",Split long sentences once. Trim filler function words.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""I felt like a wedge for splitting wood, lying between her widely opened legs.""
Suggested fixes: Split long sentences once. Trim filler function words.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.900862003,我就像一根待解的木料，躺在她分开的双腿中间。,"I felt like a wedge for splitting wood, lying between her parted legs."
So she started to undo her bra.,"too much nominalization, too long",Turn nouns back into verbs. Split long sentences once.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""So she started to undo her bra.""
Suggested fixes: Turn nouns back into verbs. Split long sentences once.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",1,就去解乳罩。,She began to unfasten her bra.
"After a piercing, tearing sound, a hole appeared in the side of the stern of Judgment Day, made by a large metallic piece punching through the hull.","low lexical variety, too long",Vary wording slightly. Split long sentences once.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""After a piercing, tearing sound, a hole appeared in the side of the stern of Judgment Day, made by a large metallic piece punching through the hull.""
Suggested fixes: Vary wording slightly. Split long sentences once.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.999999608,在一声刺耳的破裂声后，“审判日”号的船尾一侧出现了一个破洞，这洞是被一个巨大的金属构件撞出的。,"After a sharp, ringing sound, a hole materialized in the side of the stern of Judgment Day, created by a large metallic object punching through the hull."
"Three decades later, my older brother and I went into the sorghum field and engaged some crafty sparrows in a heated battle.","too passive, too many subordinate clauses",Prefer active if natural. Limit excessive subordination.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""Three decades later, my older brother and I went into the sorghum field and engaged some crafty sparrows in a heated battle.""
Suggested fixes: Prefer active if natural. Limit excessive subordination.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.999999993,三十多年后，我跟着哥哥在杂种高粱试验田里，与狡猾的麻雀展开过激烈坚韧的斗争。,"My brother and I ventured into the sorghum field thirty years later, and we engaged in a spirited battle with some cunning sparrows."
"We camped under a huge green tree, picking up two pieces of cow dung to start a fire, and spread a plastic sheet on the ground.","too long, too many pronouns",Split long sentences once. Reduce pronoun overuse.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""We camped under a huge green tree, picking up two pieces of cow dung to start a fire, and spread a plastic sheet on the ground.""
Suggested fixes: Split long sentences once. Reduce pronoun overuse.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.999999952,我们在一棵大青树下露营，拣了两块干牛粪生了一堆火，在地上铺了一块塑料布。,"We pitched our tent beneath a towering green tree, collecting two dung pellets to kindle a fire, and spreading a plastic sheet on the ground."
I said that wasn't going to work.,"deeply nested syntax, too much nominalization",Flatten nested clauses. Turn nouns back into verbs.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""I said that wasn't going to work.""
Suggested fixes: Flatten nested clauses. Turn nouns back into verbs.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.999999992,我说那不行。,"I said it wouldn't work, and I was right."
"The universe would flicker like a fluorescent tube that's about to burn out!""","too many subordinate clauses, too many pronouns",Limit excessive subordination. Reduce pronoun overuse.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""The universe would flicker like a fluorescent tube that's about to burn out!""""
Suggested fixes: Limit excessive subordination. Reduce pronoun overuse.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.999998948,这意味着整个宇宙像一个坏了的日光灯管那样闪烁！”,The universe might flicker like a fluorescent tube on the brink of burning out!
"She hobbled off on her stick, leaving Crimson standing there in a muse, her mission to fetch the tracing-brush momentarily forgotten.","overly dense, too long",Loosen dense noun phrases. Split long sentences once.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""She hobbled off on her stick, leaving Crimson standing there in a muse, her mission to fetch the tracing-brush momentarily forgotten.""
Suggested fixes: Loosen dense noun phrases. Split long sentences once.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.997165,说着拄着拐一径去了。 小红听说，便站着出神，且不去取笔。,"She hobbled off on her stick, leaving Crimson standing there in a daze, her mission to fetch the tracing-brush momentarily forgotten."
Only when Grandma smiled up at him as she lay dead in the sorghum field did he realise the grievous punishment life had meted out to him.,"too many cohesive markers, too long",Keep only necessary markers. Split long sentences once.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""Only when Grandma smiled up at him as she lay dead in the sorghum field did he realise the grievous punishment life had meted out to him.""
Suggested fixes: Keep only necessary markers. Split long sentences once.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.999805587,只有当奶奶在高粱地里用死亡的面容对着爷爷微笑时，他才领会到生活对自己的惩罚是多么严酷。,Only when Grandma smiled up at him as she lay dead in the sorghum field did he realize the grievous punishment life had dealt him.
"He got up, grabbed a pitchfork, and tried to stab me, but somebody stopped him.","too passive, too many pronouns",Prefer active if natural. Reduce pronoun overuse.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""He got up, grabbed a pitchfork, and tried to stab me, but somebody stopped him.""
Suggested fixes: Prefer active if natural. Reduce pronoun overuse.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.99999004,三闷儿爬起来，抢了一把三齿要砍我，别人劝开了。,"He rose, grasped a pitchfork, and attempted to jab me, but someone intervened."
"Consequently, they often had leftover rice, heated up again with just a dish of mud snails to go with it.","too passive, overly dense",Prefer active if natural. Loosen dense noun phrases.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""Consequently, they often had leftover rice, heated up again with just a dish of mud snails to go with it.""
Suggested fixes: Prefer active if natural. Loosen dense noun phrases.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.999999994,她们常常是吃泡饭，黄泥螺下饭。,"Consequently, they often had leftover rice, heated up again with just a dish of mud snails to accompany it."
"'Of all the girls in this room she has the sharpest tongue,' said Bao-yu.","too passive, deeply nested syntax",Prefer active if natural. Flatten nested clauses.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""'Of all the girls in this room she has the sharpest tongue,' said Bao-yu.""
Suggested fixes: Prefer active if natural. Flatten nested clauses.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",1,宝玉笑着道：“满屋里就只是他磨牙。”,"Bao-yu said, """"Of all the girls in this room, she has the sharpest tongue."
"The monk, catching sight of a lustrous, translucent stone—it was in fact the rejected building block which had now shrunk itself to the size of a fan-pendant and looked very attractive in its new shape—took it up on the palm of his hand and addressed it with a smile: 'Ha, I see you have magical properties!","too much nominalization, deeply nested syntax",Turn nouns back into verbs. Flatten nested clauses.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""The monk, catching sight of a lustrous, translucent stone—it was in fact the rejected building block which had now shrunk itself to the size of a fan-pendant and looked very attractive in its new shape—took it up on the palm of his hand and addressed it with a smile: 'Ha, I see you have magical properties!""
Suggested fixes: Turn nouns back into verbs. Flatten nested clauses.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",1,见着这块鲜莹明洁的石头，且又缩成扇坠一般，甚属可爱； 那僧托于掌上，笑道：“形体倒也是个灵物了！,"The monk, catching sight of a lustrous, translucent stone, smiled and addressed it, ""Ah, I see you have magical properties!""He took the stone in the palm of his hand, admiring its new shape, once a rejected building block, now shrunk to the size of a fan pendant."
"If I went there, not only wouldn't it cure the pain in my lower back, but worse, I might get leprosy.","too many subordinate clauses, deeply nested syntax",Limit excessive subordination. Flatten nested clauses.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""If I went there, not only wouldn't it cure the pain in my lower back, but worse, I might get leprosy.""
Suggested fixes: Limit excessive subordination. Flatten nested clauses.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.999823646,我到那里不但治不好病，还可能染上麻风。,"If I went there, it wouldn't cure the pain in my lower back, and worse, I might contract leprosy."
"Whether my back really hurt or not, those holes alone would justify my visit to the doctor.","too many subordinate clauses, low lexical variety",Limit excessive subordination. Vary wording slightly.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""Whether my back really hurt or not, those holes alone would justify my visit to the doctor.""
Suggested fixes: Limit excessive subordination. Vary wording slightly.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.996600651,不管腰疼真不真，光那些窟窿也能成为看医生的理由。,"Whether my back really hurt or not, the holes alone would justify a visit to the doctor."
"Granddad jumped up onto the mountain of stuff and, with a single kick, sent the old man sprawling onto the ground.","too passive, too many subordinate clauses",Prefer active if natural. Limit excessive subordination.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""Granddad jumped up onto the mountain of stuff and, with a single kick, sent the old man sprawling onto the ground.""
Suggested fixes: Prefer active if natural. Limit excessive subordination.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",1,爷爷纵身跳上货堆，飞起一脚，把那老头踢到货堆下。,"Granddad leapt onto the pile of items with a single kick, sending the old man tumbling to the ground."
"In 1957, after untold hardships, when he finally emerged from the burrow Mother had dug for him, his eyes had the same look as in his youth: lively, perplexed, capricious.","too long, too much nominalization",Split long sentences once. Turn nouns back into verbs.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""In 1957, after untold hardships, when he finally emerged from the burrow Mother had dug for him, his eyes had the same look as in his youth: lively, perplexed, capricious.""
Suggested fixes: Split long sentences once. Turn nouns back into verbs.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.99408536,一九五七年，他历尽千难万苦，从母亲挖的地洞里跑出来时，双眼还像他少年时期一样，活泼、迷惘、瞬息万变。,"In 1957, after untold hardships, he emerged from the burrow his mother had dug for him, his eyes radiating the same lively, perplexed, and capricious look he had in his youth."
'Now I think you had better go.',"too much nominalization, deeply nested syntax",Turn nouns back into verbs. Flatten nested clauses.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""'Now I think you had better go.'""
Suggested fixes: Turn nouns back into verbs. Flatten nested clauses.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.999976003,凤姐道：“这会子你先去罢。”,Now it's time for you to go.
"He longed for a time back when, like the sprinkling of stars in the night sky, only the elite prospered—for a European-style house on a smooth cobblestone road, and the spiraling sounds of the phonograph twisting their way up through an otherwise perfect silence.","too long, too many pronouns",Split long sentences once. Reduce pronoun overuse.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""He longed for a time back when, like the sprinkling of stars in the night sky, only the elite prospered—for a European-style house on a smooth cobblestone road, and the spiraling sounds of the phonograph twisting their way up through an otherwise perfect silence.""
Suggested fixes: Split long sentences once. Reduce pronoun overuse.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.999999671,要的是那刚开始的少数人的繁华，黑漆漆的夜空里，那一小丛灿烂，平整的蛋硌路上，一座欧式洋房，还有那万籁俱寂中的一点蜿蜒曲折的音响。,"He yearned for a bygone era when only the privileged thrived - for a charming European-style manor nestled on a smooth cobblestone road, and the hypnotic sounds of the phonograph twirling their way up through an otherwise serene silence."
"She came to understand the significance of the word ""Camera"": it announced a kind of climax.","repetition, too many cohesive markers",Remove needless repetition. Keep only necessary markers.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""She came to understand the significance of the word ""Camera"": it announced a kind of climax.""
Suggested fixes: Remove needless repetition. Keep only necessary markers.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.929504107,她看出这一声“开麦拉”的不同寻常的意义，几乎是接近顶点的。,"She grasped the pivotal nature of the term ""Camera"": it heralded a turning point."
"Trinket began to choke, thrashed out with his feet to extricate himself, and finally managed to wriggle on top of the boy and hold him down.","too passive, deeply nested syntax",Prefer active if natural. Flatten nested clauses.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""Trinket began to choke, thrashed out with his feet to extricate himself, and finally managed to wriggle on top of the boy and hold him down.""
Suggested fixes: Prefer active if natural. Flatten nested clauses.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",1,韦小宝呼吸不畅，拼命伸足力撑，翻了几下，终于翻到了上面，反压在那男孩身上。,"Trinket began to choke and thrashed out with his feet, trying to extricate himself from the boy. Finally, he managed to wriggle on top of the boy and hold him down."
Something hot squirmed under his pants at the belt line.,"too much nominalization, too many cohesive markers",Turn nouns back into verbs. Keep only necessary markers.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""Something hot squirmed under his pants at the belt line.""
Suggested fixes: Turn nouns back into verbs. Keep only necessary markers.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",1,一股热流在棉裤腰间蠕动着。,Something was moving beneath his pants at the belt line.
"However, after making friends with Wang Qiyao, she became more thoughtful.","too passive, repetition",Prefer active if natural. Remove needless repetition.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""However, after making friends with Wang Qiyao, she became more thoughtful.""
Suggested fixes: Prefer active if natural. Remove needless repetition.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",1,但和王琦瑶做朋友以后，她的心却变细了。,"After making friends with Wang Qiyao, she became more thoughtful."
"The heavy, dull rays of sunlight were pulverised by tiny ripples on its surface.","too much nominalization, overly dense",Turn nouns back into verbs. Loosen dense noun phrases.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""The heavy, dull rays of sunlight were pulverised by tiny ripples on its surface.""
Suggested fixes: Turn nouns back into verbs. Loosen dense noun phrases.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.890420847,沉重凝滞的阳光被河流上的细小波涌颠扑破碎。,The sunlight's dull rays were pulverized by tiny ripples on its surface.
"Shi-yin heard all this conversation quite clearly, and curiosity impelled him to go forward and greet the two reverend gentlemen.","too passive, overly dense",Prefer active if natural. Loosen dense noun phrases.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""Shi-yin heard all this conversation quite clearly, and curiosity impelled him to go forward and greet the two reverend gentlemen.""
Suggested fixes: Prefer active if natural. Loosen dense noun phrases.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",1,却说甄士隐俱听得明白，遂不禁上前施礼，笑问道：“二位仙师请了。”,Shi-yin clearly heard the conversation and felt compelled to approach the two reverend gentlemen.
"If you traveled with a torch, it meant you wanted the whole world to know where you were; if you didn't, it would be like wearing a cape of invisibility—people who knew you were there could see you, and people who didn't couldn't.","too passive, too much nominalization",Prefer active if natural. Turn nouns back into verbs.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""If you traveled with a torch, it meant you wanted the whole world to know where you were; if you didn't, it would be like wearing a cape of invisibility—people who knew you were there could see you, and people who didn't couldn't.""
Suggested fixes: Prefer active if natural. Turn nouns back into verbs.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",1,假如有人打着火把行路，那就是说，希望全世界的人都知道他在那里。 假如你不打火把，就如穿上了隐身衣，知道你在那里的人能看见，不知道的人不能看见。,"If you traveled with a torch, it signified your desire to share your location with the world; if you didn't, it could be like wearing a cloak of invisibility - people who knew you were there could see you, while those who didn't wouldn't be able to."
"When they saw her coming, people stopped talking and turned to stare, but she acted as if they did not exist.","too passive, repetition",Prefer active if natural. Remove needless repetition.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""When they saw her coming, people stopped talking and turned to stare, but she acted as if they did not exist.""
Suggested fixes: Prefer active if natural. Remove needless repetition.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.999999999,她在弄堂里走过，人们便都停了说话，将目光转向她。 她则昂然不理会，进出如入无人之境。,"When people saw her approaching, they stopped talking and turned to face her, but she behaved as if they were invisible."
"At the first National Conference on Science, Guo Moruo, president of the Chinese Academy of Sciences, declared that it was the season of rebirth and renewal for China's battered science establishment.","too passive, deeply nested syntax",Prefer active if natural. Flatten nested clauses.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""At the first National Conference on Science, Guo Moruo, president of the Chinese Academy of Sciences, declared that it was the season of rebirth and renewal for China's battered science establishment.""
Suggested fixes: Prefer active if natural. Flatten nested clauses.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",1,在第一次全国科学大会上，郭沫若宣布科学的春天到来了。,"At the first National Conference on Science, President Guo Moruo of the Chinese Academy of Sciences declared it was the season of rebirth and renewal for China's battered scientific establishment."
"Then the thing to do is to go somewhere else, isn't it?'","words too long, repetition",Prefer simpler common words. Remove needless repetition.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""Then the thing to do is to go somewhere else, isn't it?'""
Suggested fixes: Prefer simpler common words. Remove needless repetition.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.999999979,还不快去呢！”,"It's then best to go somewhere else, right?"
'Just sitting here talking is going to be rather dull.,"punctuation heavy, too many function words",Simplify heavy punctuation. Trim filler function words.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""'Just sitting here talking is going to be rather dull.""
Suggested fixes: Simplify heavy punctuation. Trim filler function words.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.999999995,怪没意思的。,Just sitting here talking is going to be dull.
"Father and Uncle Arhat, rain capes over their shoulders, sat around the shaded lamp listening to the low gurgling of the river.","too passive, too many connectives",Prefer active if natural. Cut redundant connectives.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""Father and Uncle Arhat, rain capes over their shoulders, sat around the shaded lamp listening to the low gurgling of the river.""
Suggested fixes: Prefer active if natural. Cut redundant connectives.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.999999999,父亲和罗汉大爷披着蓑衣，坐在罩子灯旁，听着河水的低沉呜咽——非常低沉的呜咽。,"Father and Uncle Arhat, with rain capes draped over their shoulders, sat around the shaded lamp, listening to the low gurgle of the river."
